country,iso,year,estimate,low,high,var
Kenya,KEN,2019,2.943979023,1.491616038,4.317835901,inc_mdr
Kenya,KEN,2012,178.3843619,68.60936995,340.7598707,inc_tbhiv
Kenya,KEN,2013,165.2067156,69.20821869,305.8556761,inc_tbhiv
Kenya,KEN,2014,150.5502842,65.4566453,270.5541339,inc_tbhiv
Kenya,KEN,2015,125.9298317,59.76330997,215.5747967,inc_tbhiv
Kenya,KEN,2016,108.5715801,56.37370505,179.5606902,inc_tbhiv
Kenya,KEN,2017,91.93404031,49.03148816,145.0514858,inc_tbhiv
Kenya,KEN,2018,78.07291386,46.04300048,120.1121752,inc_tbhiv
Kenya,KEN,2019,70.65549656,43.17835901,104.0205922,inc_tbhiv
Kenya,KEN,2022,54,32,81,inc_tbhiv
Kenya,KEN,2012,73.18332794,41.16562197,114.3489499,mort_tbhn
Kenya,KEN,2013,69.20821869,37.95289412,109.393636,mort_tbhn
Kenya,KEN,2014,67.63853348,39.27398718,106.9125207,mort_tbhn
Kenya,KEN,2015,64.03211783,36.28486677,100.3169846,mort_tbhn
Kenya,KEN,2016,60.54953505,33.40664003,93.95617508,mort_tbhn
Kenya,KEN,2017,51.07446684,28.60170143,77.63318959,mort_tbhn
Kenya,KEN,2018,38.03552213,22.02056545,58.054218,mort_tbhn
Kenya,KEN,2019,37.29040096,21.5891795,58.87958046,mort_tbhn
Kenya,KEN,2022,32,17,52,mort_tbhn
Kenya,KEN,2012,82.33124393,50.31353796,123.4968659,mort_tbhiv
Kenya,KEN,2013,75.90578824,46.88298685,113.8586824,mort_tbhiv
Kenya,KEN,2014,69.82042166,41.45587536,104.7306325,mort_tbhiv
Kenya,KEN,2015,57.62890604,34.15046284,87.51056103,mort_tbhiv
Kenya,KEN,2016,50.10996004,29.23081003,75.16494007,mort_tbhiv
Kenya,KEN,2017,36.77361612,22.47276541,55.16042419,mort_tbhiv
Kenya,KEN,2018,26.02430462,15.81476973,38.03552213,mort_tbhiv
Kenya,KEN,2019,23.55183219,14.91616038,35.32774828,mort_tbhiv
Kenya,KEN,2022,16,9.8,25,mort_tbhiv
Kenya,KEN,2012,212.6593112,81.55381353,404.6720874,notif
Kenya,KEN,2013,200.4716518,83.02361336,370.5688109,notif
Kenya,KEN,2014,192.0607026,83.16030421,345.5112639,notif
Kenya,KEN,2015,173.5099604,82.85587996,297.3063928,notif
Kenya,KEN,2016,159.3809917,82.07643882,261.4993516,notif
Kenya,KEN,2017,170.7909741,94.15399856,270.4190424,notif
Kenya,KEN,2018,189.2447394,110.1767319,289.0518966,notif
Kenya,KEN,2019,165.5399405,101.0280519,245.8754998,notif
Kenya,KEN,2022,0.691983122,0.451790634,1,txcov
South Africa,ZAF,2012,1160.973971,551.321513,1994.541992,inc_all
South Africa,ZAF,2013,1104.436725,547.5778719,1852.483784,inc_all
South Africa,ZAF,2014,1067.065213,544.4956053,1763.215635,inc_all
South Africa,ZAF,2015,987.8928718,533.3189779,1578.481002,inc_all
South Africa,ZAF,2016,804.6467606,494.4855643,1189.246644,inc_all
South Africa,ZAF,2017,737.9785979,474.9192412,1059.299423,inc_all
South Africa,ZAF,2018,676.6698114,453.4385334,945.2449427,inc_all
South Africa,ZAF,2019,614.5947664,426.945384,834.9536743,inc_all
South Africa,ZAF,2022,468,304,665,inc_all
South Africa,ZAF,2015,53.68982999,25.05525399,84.11406698,inc_mdr
South Africa,ZAF,2016,46.08109202,24.8128957,67.34928833,inc_mdr
South Africa,ZAF,2017,44.13747595,24.71698653,61.79246633,inc_mdr
South Africa,ZAF,2018,41.85586462,24.41592103,57.55181385,inc_mdr
South Africa,ZAF,2019,39.59574125,24.10175555,53.36817299,inc_mdr
South Africa,ZAF,2012,743.2491386,353.7489571,1273.872574,inc_tbhiv
South Africa,ZAF,2013,681.2239965,337.827704,1141.560648,inc_tbhiv
South Africa,ZAF,2014,650.47126,330.7171294,1074.373879,inc_tbhiv
South Africa,ZAF,2015,560.1638929,302.4527089,894.8304998,inc_tbhiv
South Africa,ZAF,2016,478.5344171,294.210049,705.3951778,inc_tbhiv
South Africa,ZAF,2017,446.6712566,287.7763432,640.8761508,inc_tbhiv
South Africa,ZAF,2018,397.6307139,266.831137,556.3342006,inc_tbhiv
South Africa,ZAF,2019,358.0832253,247.9037713,485.4782189,inc_tbhiv
South Africa,ZAF,2022,255,166,362,inc_tbhiv
South Africa,ZAF,2012,41.39615456,39.51451117,43.27779795,mort_tbhn
South Africa,ZAF,2013,38.98011969,37.12392352,40.83631587,mort_tbhn
South Africa,ZAF,2014,36.54332922,34.71616275,38.37049568,mort_tbhn
South Africa,ZAF,2015,35.79321999,34.00355899,37.58288099,mort_tbhn
South Africa,ZAF,2016,37.21934355,33.67464417,38.99169325,mort_tbhn
South Africa,ZAF,2017,37.0754798,35.30998076,38.84097884,mort_tbhn
South Africa,ZAF,2018,36.62388154,34.87988718,38.3678759,mort_tbhn
South Africa,ZAF,2019,37.87418729,36.15263332,39.59574125,mort_tbhn
South Africa,ZAF,2022,39,37,41,mort_tbhn
South Africa,ZAF,2012,118.5435335,37.63286778,246.495284,mort_tbhiv
South Africa,ZAF,2013,98.37839732,25.98674646,217.1749526,mort_tbhiv
South Africa,ZAF,2014,87.70399012,20.09883107,202.8154771,mort_tbhiv
South Africa,ZAF,2015,80.53474498,21.47593199,178.9661,mort_tbhiv
South Africa,ZAF,2016,76.2110368,23.04054601,159.5114724,mort_tbhiv
South Africa,ZAF,2017,68.85446248,24.71698653,137.708925,mort_tbhiv
South Africa,ZAF,2018,66.27178565,24.41592103,125.5675939,mort_tbhiv
South Africa,ZAF,2019,61.97594283,24.10175555,115.3441158,mort_tbhiv
South Africa,ZAF,2022,52,17,107,mort_tbhiv
South Africa,ZAF,2012,609.0202258,289.2105773,1046.290826,notif
South Africa,ZAF,2013,579.8385614,287.4829842,972.5695534,notif
South Africa,ZAF,2014,559.4162466,285.4555505,924.3778733,notif
South Africa,ZAF,2015,514.0335909,277.5036415,821.3362812,notif
South Africa,ZAF,2016,420.126633,258.1835476,620.9360589,notif
South Africa,ZAF,2017,429.5406119,276.4268531,616.5654716,notif
South Africa,ZAF,2018,397.6289699,266.4524025,555.4507776,notif
South Africa,ZAF,2019,360.7430261,250.6001974,490.0850635,notif
South Africa,ZAF,2022,0.764957265,0.538345865,1,txcov
